category_code	category	original_filename	professional_filename	new_relative_path	size_bytes
2	02-physical-market-and-financing	ثبتهای_حسابداری_معاملات_گواهی_سپرده_کالایی_در_بورس_انرژی.pdf	02-02-accounting-for-commodity-deposit-certificate-transactions.pdf	02-physical-market-and-financing/02-02-accounting-for-commodity-deposit-certificate-transactions.pdf	1187818
2	02-physical-market-and-financing	دستورالعمل انتشار اوراق خريد دين كالايي در بورس كالاي ايران و بورس انرژي ايران.pdf	02-03-commodity-purchase-debt-securities-issuance-instruction.pdf	02-physical-market-and-financing/02-03-commodity-purchase-debt-securities-issuance-instruction.pdf	456153
2	02-physical-market-and-financing	001_d4aff401-f795-4459-8bd8-ff7814cec737..pdf	02-04-supply-chain-finance-backed-by-credit-instruments.pdf	02-physical-market-and-financing/02-04-supply-chain-finance-backed-by-credit-instruments.pdf	449781
2	02-physical-market-and-financing	بانکرینگ (سوخت دریایی).pdf	02-05-marine-fuel-bunkering-framework.pdf	02-physical-market-and-financing/02-05-marine-fuel-bunkering-framework.pdf	234625
2	02-physical-market-and-financing	11zon_JPEG-to-PDF (2).pdf	02-06-domestic-refinery-crude-oil-and-condensate-sales-decree.pdf	02-physical-market-and-financing/02-06-domestic-refinery-crude-oil-and-condensate-sales-decree.pdf	383073
3	03-derivatives-market	5f6e6a57-9d2c-11ec-b5a0-005056b98203.pdf	03-01-futures-contract-trading-instruction.pdf	03-derivatives-market/03-01-futures-contract-trading-instruction.pdf	1017211
3	03-derivatives-market	22ce2cfa-b028-11ed-b5ad-005056b98203.pdf	03-02-options-contract-trading-instruction.pdf	03-derivatives-market/03-02-options-contract-trading-instruction.pdf	635718
3	03-derivatives-market	193993d7-b499-11ec-b5a1-005056b98203.pdf	03-03-futures-committee-operating-rules.pdf	03-derivatives-market/03-03-futures-committee-operating-rules.pdf	647189
3	03-derivatives-market	3da78c2f-9d26-11ec-b5a0-005056b98203.pdf	03-04-futures-default-market-operating-rules.pdf	03-derivatives-market/03-04-futures-default-market-operating-rules.pdf	43693
3	03-derivatives-market	003_sabt ati bourse energy.PDF	03-05-accounting-for-futures-contract-transactions.pdf	03-derivatives-market/03-05-accounting-for-futures-contract-transactions.pdf	271962
4	04-electricity-market	آیین نامه اجرایی بند ب ماده 43.pdf	04-01-seventh-plan-article-43b-electricity-market-regulation.pdf	04-electricity-market/04-01-seventh-plan-article-43b-electricity-market-regulation.pdf	3480336
4	04-electricity-market	ویرایش پاییز 1404  دستورالعمل برق.pdf	04-02-electricity-trading-instruction-fall-1404.pdf	04-electricity-market/04-02-electricity-trading-instruction-fall-1404.pdf	778698
4	04-electricity-market	اصلاحیه دستورالعمل توسعه مبادلات برق تابستان 1403.pdf	04-03-electricity-trading-development-amendment-summer-1403.pdf	04-electricity-market/04-03-electricity-trading-development-amendment-summer-1403.pdf	6510703
4	04-electricity-market	مقررات حاکم بر تابلو برق آزاد در بورس انرژی.pdf	04-04-free-electricity-board-regulations.pdf	04-electricity-market/04-04-free-electricity-board-regulations.pdf	81727
4	04-electricity-market	«رویه اجرایی عرضه برق تولیدی نیروگاه_های مقیاس کوچک در تابلو برق آزاد بورس انرژی».pdf	04-05-small-scale-power-plant-offering-procedure-free-electricity-board.pdf	04-electricity-market/04-05-small-scale-power-plant-offering-procedure-free-electricity-board.pdf	562433
4	04-electricity-market	رویه اجرائی فروش برق نیروگاههای مقیاس کوچک در بورس انرژی.pdf	04-06-small-scale-power-plant-electricity-sales-procedure.pdf	04-electricity-market/04-06-small-scale-power-plant-electricity-sales-procedure.pdf	220066
4	04-electricity-market	اصلاحیه مقررات نرخ و ضوابط عرضه برق نیروگاه های مقیاس کوچک.pdf	04-07-small-scale-power-plant-pricing-and-offering-amendment.pdf	04-electricity-market/04-07-small-scale-power-plant-pricing-and-offering-amendment.pdf	211208
4	04-electricity-market	ضوابط انعقاد قرارداد دوجانبه نیروگاه های دارای قرارداد خرید تضمینی برق.pdf	04-08-bilateral-contract-rules-for-feed-in-tariff-power-plants.pdf	04-electricity-market/04-08-bilateral-contract-rules-for-feed-in-tariff-power-plants.pdf	63253
4	04-electricity-market	ضوابط عرضه برق نیروگاه های حرارتی جديد الاحداث.pdf	04-09-new-thermal-power-plant-electricity-offering-rules.pdf	04-electricity-market/04-09-new-thermal-power-plant-electricity-offering-rules.pdf	97354
4	04-electricity-market	ضوابط عرضه برق سیستم های ذخیره ساز انرژی متصل به شبکه سراسری.pdf	04-10-grid-connected-energy-storage-electricity-offering-rules.pdf	04-electricity-market/04-10-grid-connected-energy-storage-electricity-offering-rules.pdf	78998
4	04-electricity-market	مصوبه وزارت نيرو درخصوص روش اجرايي خريد برق مازاد، محدوديت در مصرف و قرارداد دو جانبه برق توليدي نيروگاه هاي احداث شده توسط صنايع.pdf	04-11-industrial-power-plant-surplus-purchase-and-bilateral-contract-procedure.pdf	04-electricity-market/04-11-industrial-power-plant-surplus-purchase-and-bilateral-contract-procedure.pdf	266749
4	04-electricity-market	اصلاحیه سند تأمین برق مصارف بیشتر از الگوی مصرف مشترکان.pdf	04-12-above-consumption-pattern-electricity-supply-amendment.pdf	04-electricity-market/04-12-above-consumption-pattern-electricity-supply-amendment.pdf	157864
4	04-electricity-market	11zon_JPEG-to-PDF.pdf	04-13-industrial-consumer-electricity-procurement-through-energy-exchange-decree.pdf	04-electricity-market/04-13-industrial-consumer-electricity-procurement-through-energy-exchange-decree.pdf	319483
4	04-electricity-market	11351_orig.pdf	04-14-electricity-export-and-regional-market-development-instruction.pdf	04-electricity-market/04-14-electricity-export-and-regional-market-development-instruction.pdf	4491733
4	04-electricity-market	قانون مانع زدایی.pdf	04-15-electricity-industry-development-barrier-removal-law.pdf	04-electricity-market/04-15-electricity-industry-development-barrier-removal-law.pdf	511735
5	05-capacity-renewables-and-industrial-generation	دستورالعمل نحوه تدارک خرید و فروش گواهی ظرفیت.pdf	05-01-capacity-certificate-procurement-and-trading-instruction.pdf	05-capacity-renewables-and-industrial-generation/05-01-capacity-certificate-procurement-and-trading-instruction.pdf	1669791
5	05-capacity-renewables-and-industrial-generation	Renawable Energy Certificate.pdf	05-02-renewable-electricity-generation-certificate-settlement-instruction.pdf	05-capacity-renewables-and-industrial-generation/05-02-renewable-electricity-generation-certificate-settlement-instruction.pdf	721908
5	05-capacity-renewables-and-industrial-generation	171542620625419600.pdf	05-03-article-10-program-and-power-plant-fuel-certificates.pdf	05-capacity-renewables-and-industrial-generation/05-03-article-10-program-and-power-plant-fuel-certificates.pdf	405369
5	05-capacity-renewables-and-industrial-generation	444444.pdf	05-04-article-4-industrial-power-plant-development-regulation.pdf	05-capacity-renewables-and-industrial-generation/05-04-article-4-industrial-power-plant-development-regulation.pdf	387883
5	05-capacity-renewables-and-industrial-generation	روش اجرایی ماده ۹ آیین نامه اجرایی ماده ۴ قانون مانع زدایی.pdf	05-05-article-9-industrial-renewable-power-plant-procedure.pdf	05-capacity-renewables-and-industrial-generation/05-05-article-9-industrial-renewable-power-plant-procedure.pdf	97403
5	05-capacity-renewables-and-industrial-generation	_1405.02.05 ضوابط معافیت مشترکین دارای نیروگاه خورشیدی از برنامه مدیریت مصرف برق.pdf	05-06-solar-self-generation-demand-management-exemption-rules-1405.pdf	05-capacity-renewables-and-industrial-generation/05-06-solar-self-generation-demand-management-exemption-rules-1405.pdf	265771
5	05-capacity-renewables-and-industrial-generation	ضوابط ایجاد نهاد تجمیع کننده برق تجدیدپذیر (1).pdf	05-07-renewable-electricity-aggregator-establishment-rules.pdf	05-capacity-renewables-and-industrial-generation/05-07-renewable-electricity-aggregator-establishment-rules.pdf	1989063
5	05-capacity-renewables-and-industrial-generation	آيين نامه اجرايي ماده (16) قانون جهش توليد دانش بنيان.pdf	05-08-knowledge-based-production-law-article-16-regulation.pdf	05-capacity-renewables-and-industrial-generation/05-08-knowledge-based-production-law-article-16-regulation.pdf	182447
5	05-capacity-renewables-and-industrial-generation	شیوه نامه اجرایی مواد 8 و 9 موضوع ماده 10 قانون مانع زدایی از صنعت برق.PDF	05-09-article-10-program-sections-8-and-9-executive-procedure.pdf	05-capacity-renewables-and-industrial-generation/05-09-article-10-program-sections-8-and-9-executive-procedure.pdf	161372
6	06-energy-efficiency-and-optimization	دستورالعمل اجرایی آیین نامه بازار بهینه سازی انرژی و محیط زیست.pdf	06-01-energy-and-environment-optimization-market-executive-instruction.pdf	06-energy-efficiency-and-optimization/06-01-energy-and-environment-optimization-market-executive-instruction.pdf	486237
6	06-energy-efficiency-and-optimization	دستورالعمل صدور، گواهی صرفه جویی- آبانماه 1404.pdf	06-02-natural-gas-energy-savings-certificate-issuance-redemption-and-settlement-1404-08.pdf	06-energy-efficiency-and-optimization/06-02-natural-gas-energy-savings-certificate-issuance-redemption-and-settlement-1404-08.pdf	4331401
6	06-energy-efficiency-and-optimization	Sabtahye hesabdari - Govahi Sarfe Juyee Energy.pdf	06-03-accounting-for-energy-savings-certificates-1405.pdf	06-energy-efficiency-and-optimization/06-03-accounting-for-energy-savings-certificates-1405.pdf	526230
6	06-energy-efficiency-and-optimization	نظام نامه ثبت، اندازه گیری، راستی آزمایی و تایید صرفه جویی انرژی و کاهش تولید آلاینده ها و انتشار گازهای گلخانه ای.pdf	06-04-energy-savings-measurement-verification-and-approval-code.pdf	06-energy-efficiency-and-optimization/06-04-energy-savings-measurement-verification-and-approval-code.pdf	454640
6	06-energy-efficiency-and-optimization	مصوبه شورای عالی انرژی درخصوص اجرای آیین نامه بازار بهینه سازی انرژی و محیط زیست.pdf	06-05-energy-and-environment-optimization-market-implementation-resolution.pdf	06-energy-efficiency-and-optimization/06-05-energy-and-environment-optimization-market-implementation-resolution.pdf	138792
6	06-energy-efficiency-and-optimization	آیین نامه اجرایی بند الف ماده 46 قانون برنامه پنجساله پیشرفت جمهوری اسلامی ایران.pdf	06-06-seventh-plan-article-46a-energy-efficiency-regulation.pdf	06-energy-efficiency-and-optimization/06-06-seventh-plan-article-46a-energy-efficiency-regulation.pdf	335414
6	06-energy-efficiency-and-optimization	نسخه چاپی آئين نامه اجرايي بند (س) ماده واحده تبصره (1) قانون بودجه سال 1402 كل كشور (1).pdf	06-07-budget-1402-note-1-section-s-energy-efficiency-account-regulation.pdf	06-energy-efficiency-and-optimization/06-07-budget-1402-note-1-section-s-energy-efficiency-account-regulation.pdf	549196
6	06-energy-efficiency-and-optimization	نسخه چاپی آيين نامه اجرايي ماده (14) قانون مانع زدايي از توسعه صنعت برق (1).pdf	06-08-article-14-saved-fuel-regulation.pdf	06-energy-efficiency-and-optimization/06-08-article-14-saved-fuel-regulation.pdf	439192
6	06-energy-efficiency-and-optimization	آیین نامه نحوه فعالیت شرکت های کارور برق و نصب شمارشگرهای هوشمند.pdf	06-09-electricity-energy-service-companies-and-smart-metering-regulation.pdf	06-energy-efficiency-and-optimization/06-09-electricity-energy-service-companies-and-smart-metering-regulation.pdf	174822
7	07-national-energy-strategy	سند ملي راهبرد انرژي كشور.pdf	07-01-national-energy-strategy.pdf	07-national-energy-strategy/07-01-national-energy-strategy.pdf	820855
7	07-national-energy-strategy	سند تامین انرژی بخش حمل و نقل کشور تا افق ۱۴۲۰.pdf	07-02-transport-sector-energy-supply-outlook-1420.pdf	07-national-energy-strategy/07-02-transport-sector-energy-supply-outlook-1420.pdf	878175
7	07-national-energy-strategy	سند تراز تولید و مصرف گاز طبیعی در کشور تا افق ۱۴۲۰.pdf	07-03-natural-gas-production-and-consumption-balance-outlook-1420.pdf	07-national-energy-strategy/07-03-natural-gas-production-and-consumption-balance-outlook-1420.pdf	7240999
7	07-national-energy-strategy	سند چشم انداز تولید نفت خام تا افق سال ۱۴۲۰.pdf	07-04-crude-oil-production-outlook-1420.pdf	07-national-energy-strategy/07-04-crude-oil-production-outlook-1420.pdf	632904
7	07-national-energy-strategy	مصوبه شورای عالی انرژی درخصوص طرح جامع انرژی کشور.pdf	07-05-national-comprehensive-energy-plan-resolution.pdf	07-national-energy-strategy/07-05-national-comprehensive-energy-plan-resolution.pdf	147952
7	07-national-energy-strategy	مصوبه شورای عالی انرژی درخصوص الگوی مصرف برق و گاز طبیعی.pdf	07-06-electricity-and-natural-gas-consumption-pattern-resolution.pdf	07-national-energy-strategy/07-06-electricity-and-natural-gas-consumption-pattern-resolution.pdf	1048144
7	07-national-energy-strategy	shora-1402-08-01_opt-2-.pdf	07-07-supreme-energy-council-ninth-and-tenth-session-resolutions-1402.pdf	07-national-energy-strategy/07-07-supreme-energy-council-ninth-and-tenth-session-resolutions-1402.pdf	1664052
8	08-compliance-and-related-regulations	آيين نامه اجرايي ماده (14) الحاقي قانون مبارزه با پولشويي-کامل.pdf	08-01-anti-money-laundering-law-article-14-executive-regulation.pdf	08-compliance-and-related-regulations/08-01-anti-money-laundering-law-article-14-executive-regulation.pdf	11927736
8	08-compliance-and-related-regulations	آيين نامه اجرايي مواد (55) و (56) قانون مبارزه با قاچاق كالا و ارز.pdf	08-02-anti-smuggling-law-articles-55-and-56-executive-regulation.pdf	08-compliance-and-related-regulations/08-02-anti-smuggling-law-articles-55-and-56-executive-regulation.pdf	650167
8	08-compliance-and-related-regulations	آيين نامه استخراج رمز دارايي ها با اصلاحات بعدی.pdf	08-03-crypto-asset-mining-regulation-consolidated-amendments.pdf	08-compliance-and-related-regulations/08-03-crypto-asset-mining-regulation-consolidated-amendments.pdf	327658

