commodity,effective_from,daily_fee_rial,fee_basis,vat_applicable,source_page_url,source_pdf_url,source_kind,confidence,notes
silver_bullion,2025-09-30,29,gram,yes,https://www.ime.co.ir/ShowContent.html?i=WGRaTmY4bitqcEU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/9-27-2025/4688205/a1e4c5bc-5382-4a44-a517-5cd07bbe9108.pdf,official_notice,high,Effective 1404-07-08
gold_coin,2025-09-30,10000,coin,yes,https://www.ime.co.ir/ShowContent.html?i=WGRaTmY4bitqcEU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/9-27-2025/4688205/a1e4c5bc-5382-4a44-a517-5cd07bbe9108.pdf,official_notice,high,Effective 1404-07-08
saffron,2025-09-30,118,gram,no,https://www.ime.co.ir/ShowContent.html?i=WGRaTmY4bitqcEU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/9-27-2025/4688205/a1e4c5bc-5382-4a44-a517-5cd07bbe9108.pdf,official_notice,high,Effective 1404-07-08
gold_bullion,2025-12-28,182,certificate_0.1g,yes,https://www.ime.co.ir/ShowContent.html?i=T1c3MlAvSDBjRFk9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/12-23-2025/8454787/c6ed96ce-f1d8-4683-ac64-1cf5e165724f.pdf,official_notice,high,Effective 1404-10-07
silver_bullion,2025-12-28,55,gram,yes,https://www.ime.co.ir/ShowContent.html?i=T1c3MlAvSDBjRFk9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/12-23-2025/8454787/c6ed96ce-f1d8-4683-ac64-1cf5e165724f.pdf,official_notice,high,Effective 1404-10-07
gold_coin,2025-12-28,14000,coin,yes,https://www.ime.co.ir/ShowContent.html?i=T1c3MlAvSDBjRFk9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/12-23-2025/8454787/c6ed96ce-f1d8-4683-ac64-1cf5e165724f.pdf,official_notice,high,Effective 1404-10-07
saffron,2025-12-28,173,gram,no,https://www.ime.co.ir/ShowContent.html?i=T1c3MlAvSDBjRFk9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/12-23-2025/8454787/c6ed96ce-f1d8-4683-ac64-1cf5e165724f.pdf,official_notice,high,Effective 1404-10-07
copper_cathode,2025-12-28,360,kg,yes,https://www.ime.co.ir/ShowContent.html?i=T1c3MlAvSDBjRFk9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/12-23-2025/8454787/c6ed96ce-f1d8-4683-ac64-1cf5e165724f.pdf,official_notice,high,Effective 1404-10-07
zinc_ingot,2025-12-28,90,kg,yes,https://www.ime.co.ir/ShowContent.html?i=T1c3MlAvSDBjRFk9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/12-23-2025/8454787/c6ed96ce-f1d8-4683-ac64-1cf5e165724f.pdf,official_notice,high,Effective 1404-10-07
rebar,2025-12-28,11,kg,yes,https://www.ime.co.ir/ShowContent.html?i=T1c3MlAvSDBjRFk9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/12-23-2025/8454787/c6ed96ce-f1d8-4683-ac64-1cf5e165724f.pdf,official_notice,high,Effective 1404-10-07
iron_ore_pellet,2025-12-28,2,kg,yes,https://www.ime.co.ir/ShowContent.html?i=T1c3MlAvSDBjRFk9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/12-23-2025/8454787/c6ed96ce-f1d8-4683-ac64-1cf5e165724f.pdf,official_notice,high,Effective 1404-10-07
vehicle,2025-12-28,43,certificate_1e-4_vehicle,yes,https://www.ime.co.ir/ShowContent.html?i=T1c3MlAvSDBjRFk9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/12-23-2025/8454787/c6ed96ce-f1d8-4683-ac64-1cf5e165724f.pdf,official_notice,high,Effective 1404-10-07
gold_bullion,2026-04-11,468,certificate_0.1g,yes,https://www.ime.co.ir/ShowContent.html?i=aUx3Uy9KZmthS1E9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/4-11-2026/3373135/%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%DB%8C%D9%87-%D8%AA%D8%BA%DB%8C%DB%8C%D8%B1-%D9%87%D8%B2%DB%8C%D9%86%D9%87-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%AF%D8%B1%D8%A7%DB%8C.pdf,official_notice,high,Effective 1405-01-22
silver_bullion,2026-04-11,107,gram,yes,https://www.ime.co.ir/ShowContent.html?i=aUx3Uy9KZmthS1E9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/4-11-2026/3373135/%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%DB%8C%D9%87-%D8%AA%D8%BA%DB%8C%DB%8C%D8%B1-%D9%87%D8%B2%DB%8C%D9%86%D9%87-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%AF%D8%B1%D8%A7%DB%8C.pdf,official_notice,high,Effective 1405-01-22
gold_coin,2026-04-11,20000,coin,yes,https://www.ime.co.ir/ShowContent.html?i=aUx3Uy9KZmthS1E9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/4-11-2026/3373135/%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%DB%8C%D9%87-%D8%AA%D8%BA%DB%8C%DB%8C%D8%B1-%D9%87%D8%B2%DB%8C%D9%86%D9%87-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%AF%D8%B1%D8%A7%DB%8C.pdf,official_notice,high,Effective 1405-01-22
saffron,2026-04-11,179,gram,no,https://www.ime.co.ir/ShowContent.html?i=aUx3Uy9KZmthS1E9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/4-11-2026/3373135/%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%DB%8C%D9%87-%D8%AA%D8%BA%DB%8C%DB%8C%D8%B1-%D9%87%D8%B2%DB%8C%D9%86%D9%87-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%AF%D8%B1%D8%A7%DB%8C.pdf,official_notice,high,Effective 1405-01-22
copper_cathode,2026-04-11,434,kg,yes,https://www.ime.co.ir/ShowContent.html?i=aUx3Uy9KZmthS1E9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/4-11-2026/3373135/%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%DB%8C%D9%87-%D8%AA%D8%BA%DB%8C%DB%8C%D8%B1-%D9%87%D8%B2%DB%8C%D9%86%D9%87-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%AF%D8%B1%D8%A7%DB%8C.pdf,official_notice,high,Effective 1405-01-22
zinc_ingot,2026-04-11,107,kg,yes,https://www.ime.co.ir/ShowContent.html?i=aUx3Uy9KZmthS1E9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/4-11-2026/3373135/%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%DB%8C%D9%87-%D8%AA%D8%BA%DB%8C%DB%8C%D8%B1-%D9%87%D8%B2%DB%8C%D9%86%D9%87-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%AF%D8%B1%D8%A7%DB%8C.pdf,official_notice,high,Effective 1405-01-22
rebar,2026-04-11,12,kg,yes,https://www.ime.co.ir/ShowContent.html?i=aUx3Uy9KZmthS1E9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/4-11-2026/3373135/%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%DB%8C%D9%87-%D8%AA%D8%BA%DB%8C%DB%8C%D8%B1-%D9%87%D8%B2%DB%8C%D9%86%D9%87-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%AF%D8%B1%D8%A7%DB%8C.pdf,official_notice,high,Effective 1405-01-22
iron_ore_pellet,2026-04-11,3,kg,yes,https://www.ime.co.ir/ShowContent.html?i=aUx3Uy9KZmthS1E9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/4-11-2026/3373135/%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%DB%8C%D9%87-%D8%AA%D8%BA%DB%8C%DB%8C%D8%B1-%D9%87%D8%B2%DB%8C%D9%86%D9%87-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%AF%D8%B1%D8%A7%DB%8C.pdf,official_notice,high,Effective 1405-01-22
vehicle,2026-04-11,57,certificate_1e-4_vehicle,yes,https://www.ime.co.ir/ShowContent.html?i=aUx3Uy9KZmthS1E9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/4-11-2026/3373135/%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%DB%8C%D9%87-%D8%AA%D8%BA%DB%8C%DB%8C%D8%B1-%D9%87%D8%B2%DB%8C%D9%86%D9%87-%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%AF%D8%B1%D8%A7%DB%8C.pdf,official_notice,high,Effective 1405-01-22
gold_bullion,2026-06-30,255,certificate_0.1g,yes,https://www.ime.co.ir/ShowContent.html?i=VFN1UFdMeXlkNEU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/6-27-2026/4374697/gavahi.pdf,official_notice,high,Effective 1405-04-09; agrees with live table
silver_bullion,2026-06-30,99,gram,yes,https://www.ime.co.ir/ShowContent.html?i=VFN1UFdMeXlkNEU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/6-27-2026/4374697/gavahi.pdf,official_notice,high,Effective 1405-04-09; agrees with live table
gold_coin,2026-06-30,19000,coin,yes,https://www.ime.co.ir/ShowContent.html?i=VFN1UFdMeXlkNEU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/6-27-2026/4374697/gavahi.pdf,official_notice,high,Effective 1405-04-09; agrees with live table
saffron,2026-06-30,239,gram,no,https://www.ime.co.ir/ShowContent.html?i=VFN1UFdMeXlkNEU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/6-27-2026/4374697/gavahi.pdf,official_notice,high,Effective 1405-04-09; agrees with live table
copper_cathode,2026-06-30,614,kg,yes,https://www.ime.co.ir/ShowContent.html?i=VFN1UFdMeXlkNEU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/6-27-2026/4374697/gavahi.pdf,official_notice,high,Effective 1405-04-09; agrees with live table
zinc_ingot,2026-06-30,138,kg,yes,https://www.ime.co.ir/ShowContent.html?i=VFN1UFdMeXlkNEU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/6-27-2026/4374697/gavahi.pdf,official_notice,high,Effective 1405-04-09; agrees with live table
rebar,2026-06-30,16,kg,yes,https://www.ime.co.ir/ShowContent.html?i=VFN1UFdMeXlkNEU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/6-27-2026/4374697/gavahi.pdf,official_notice,high,Effective 1405-04-09; agrees with live table
iron_ore_pellet,2026-06-30,3,kg,yes,https://www.ime.co.ir/ShowContent.html?i=VFN1UFdMeXlkNEU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/6-27-2026/4374697/gavahi.pdf,official_notice,high,Effective 1405-04-09; agrees with live table
vehicle,2026-06-30,93,certificate_1e-4_vehicle,yes,https://www.ime.co.ir/ShowContent.html?i=VFN1UFdMeXlkNEU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/6-27-2026/4374697/gavahi.pdf,official_notice,high,Effective 1405-04-09; agrees with live table
lead_ingot,2026-06-30,100,kg,yes,https://www.ime.co.ir/ShowContent.html?i=VFN1UFdMeXlkNEU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/6-27-2026/4374697/gavahi.pdf,official_notice,high,Effective 1405-04-09; agrees with live table
